Date,Price
,ZS=F
2023-07-26,1546.25
2023-07-27,1532.0
2023-07-28,1486.75
2023-07-31,1445.75
2023-08-01,1446.75
2023-08-02,1429.75
2023-08-03,1428.75
2023-08-04,1444.0
2023-08-07,1414.5
2023-08-08,1430.0
2023-08-09,1431.5
2023-08-10,1412.0
2023-08-11,1401.25
2023-08-14,1391.0
2023-08-15,1323.25
2023-08-16,1334.75
2023-08-17,1336.75
2023-08-18,1362.75
2023-08-21,1370.0
2023-08-22,1351.5
2023-08-23,1359.5
2023-08-24,1365.75
2023-08-25,1381.0
2023-08-28,1395.25
2023-08-29,1382.0
2023-08-30,1381.25
2023-08-31,1360.0
2023-09-01,1356.25
2023-09-05,1349.0
2023-09-06,1360.25
2023-09-07,1345.0
2023-09-08,1349.5
2023-09-11,1352.5
2023-09-12,1331.75
2023-09-13,1336.0
2023-09-14,1343.75
2023-09-15,1340.25
2023-09-18,1316.75
2023-09-19,1315.5
2023-09-20,1320.0
2023-09-21,1293.75
2023-09-22,1296.25
2023-09-25,1297.75
2023-09-26,1302.75
2023-09-27,1303.25
2023-09-28,1300.5
2023-09-29,1275.0
2023-10-02,1277.0
2023-10-03,1272.75
2023-10-04,1273.0
2023-10-05,1280.75
2023-10-06,1266.0
2023-10-09,1264.25
2023-10-10,1271.5
2023-10-11,1252.5
2023-10-12,1290.0
2023-10-13,1280.25
2023-10-16,1286.25
2023-10-17,1296.75
2023-10-18,1311.0
2023-10-19,1315.5
2023-10-20,1302.25
2023-10-23,1286.75
2023-10-24,1295.25
2023-10-25,1288.25
2023-10-26,1279.5
2023-10-27,1297.25
2023-10-30,1282.75
2023-10-31,1287.0
2023-11-01,1291.25
2023-11-02,1304.0
2023-11-03,1327.5
2023-11-06,1340.5
2023-11-07,1348.75
2023-11-08,1349.0
2023-11-09,1327.75
2023-11-10,1333.5
2023-11-13,1368.0
2023-11-14,1368.75
2023-11-15,1385.0
2023-11-16,1360.25
2023-11-17,1340.25
2023-11-20,1367.25
2023-11-21,1377.25
2023-11-22,1356.5
2023-11-24,1330.75
2023-11-27,1329.75
2023-11-28,1346.5
2023-11-29,1347.0
2023-11-30,1342.75
2023-12-01,1325.0
2023-12-04,1306.25
2023-12-05,1305.5
2023-12-06,1295.5
2023-12-07,1311.75
2023-12-08,1304.0
2023-12-11,1336.0
2023-12-12,1323.75
2023-12-13,1307.5
2023-12-14,1314.0
2023-12-15,1315.75
2023-12-18,1327.0
2023-12-19,1312.5
2023-12-20,1308.25
2023-12-21,1297.25
2023-12-22,1299.75
2023-12-26,1313.25
2023-12-27,1316.75
2023-12-28,1305.25
2023-12-29,1293.5
2024-01-02,1274.0
2024-01-03,1269.5
2024-01-04,1262.0
2024-01-05,1249.75
2024-01-08,1239.5
2024-01-09,1241.5
2024-01-10,1228.75
2024-01-11,1231.25
2024-01-12,1205.75
2024-01-16,1227.25
2024-01-17,1205.75
2024-01-18,1213.5
2024-01-19,1213.25
2024-01-22,1224.25
2024-01-23,1239.5
2024-01-24,1240.25
2024-01-25,1223.0
2024-01-26,1209.25
2024-01-29,1194.25
2024-01-30,1218.75
2024-01-31,1222.25
2024-02-01,1203.25
2024-02-02,1188.5
2024-02-05,1196.25
2024-02-06,1199.5
2024-02-07,1189.0
2024-02-08,1193.5
2024-02-09,1183.5
2024-02-12,1193.0
2024-02-13,1186.25
2024-02-14,1170.5
2024-02-15,1162.25
2024-02-16,1172.25
2024-02-20,1179.0
2024-02-21,1160.75
2024-02-22,1147.75
2024-02-23,1133.0
2024-02-26,1136.0
2024-02-27,1131.25
2024-02-28,1134.0
2024-02-29,1128.25
2024-03-01,1143.0
2024-03-04,1147.0
2024-03-05,1140.75
2024-03-06,1140.25
2024-03-07,1157.0
2024-03-08,1170.5
2024-03-11,1165.0
2024-03-12,1182.0
2024-03-13,1181.75
2024-03-14,1180.75
2024-03-15,1198.25
2024-03-18,1187.75
2024-03-19,1185.5
2024-03-20,1209.5
2024-03-21,1212.0
2024-03-22,1192.5
2024-03-25,1209.25
2024-03-26,1199.0
2024-03-27,1192.5
2024-03-28,1191.5
2024-04-01,1185.75
2024-04-02,1174.0
2024-04-03,1182.25
2024-04-04,1180.0
2024-04-05,1185.0
2024-04-08,1181.5
2024-04-09,1174.5
2024-04-10,1164.75
2024-04-11,1159.25
2024-04-12,1174.0
2024-04-15,1158.25
2024-04-16,1145.0
2024-04-17,1149.5
2024-04-18,1134.25
2024-04-19,1150.5
2024-04-22,1161.0
2024-04-23,1167.5
2024-04-24,1166.0
2024-04-25,1162.75
2024-04-26,1159.5
2024-04-29,1160.75
2024-04-30,1145.5
2024-05-01,1155.75
2024-05-02,1190.0
2024-05-03,1201.75
2024-05-06,1234.75
2024-05-07,1232.25
2024-05-08,1212.75
2024-05-09,1192.75
2024-05-10,1205.0
2024-05-13,1205.5
2024-05-14,1199.0
2024-05-15,1213.5
2024-05-16,1216.25
2024-05-17,1228.0
2024-05-20,1248.0
2024-05-21,1236.25
2024-05-22,1246.25
2024-05-23,1239.25
2024-05-24,1248.0
2024-05-28,1229.5
2024-05-29,1214.0
2024-05-30,1209.75
2024-05-31,1205.0
2024-06-03,1184.5
2024-06-04,1179.0
2024-06-05,1177.25
2024-06-06,1200.0
2024-06-07,1179.25
2024-06-10,1188.25
2024-06-11,1178.0
2024-06-12,1177.25
2024-06-13,1189.5
2024-06-14,1179.75
2024-06-17,1157.75
2024-06-18,1174.0
2024-06-20,1155.25
2024-06-21,1160.5
2024-06-24,1175.25
2024-06-25,1163.25
2024-06-26,1162.75
2024-06-27,1152.25
2024-06-28,1150.5
2024-07-01,1159.5
2024-07-02,1165.0
2024-07-03,1176.5
2024-07-05,1188.5
2024-07-08,1174.25
2024-07-09,1161.5
2024-07-10,1141.25
2024-07-11,1142.75
2024-07-12,1134.5
2024-07-15,1078.0
2024-07-16,1090.5
2024-07-17,1097.25
2024-07-18,1098.5
2024-07-19,1097.25
2024-07-22,1117.75
2024-07-23,1117.5
2024-07-24,1111.0
2024-07-25,1116.0
2024-07-26,1077.5
2024-07-29,1054.75
2024-07-30,1027.25
2024-07-31,1028.5
2024-08-01,1022.0
2024-08-02,1029.25
2024-08-05,1044.25
2024-08-06,1028.5
2024-08-07,1020.25
2024-08-08,1009.75
2024-08-09,1028.0
2024-08-12,1012.0
2024-08-13,989.0
2024-08-14,979.75
2024-08-15,951.5
2024-08-16,938.75
2024-08-19,956.25
2024-08-20,957.25
2024-08-21,963.0
2024-08-22,941.25
2024-08-23,952.0
2024-08-26,959.75
2024-08-27,967.5
2024-08-28,958.5
2024-08-29,973.75
2024-08-30,982.0
2024-09-03,997.0
2024-09-04,1006.0
2024-09-05,1008.25
2024-09-06,989.25
2024-09-09,1000.0
2024-09-10,977.5
2024-09-11,979.75
2024-09-12,991.5
2024-09-13,986.75
2024-09-16,1004.5
2024-09-17,1006.0
2024-09-18,1014.0
2024-09-19,1013.25
2024-09-20,1012.0
2024-09-23,1039.25
2024-09-24,1042.25
2024-09-25,1053.25
2024-09-26,1041.0
2024-09-27,1065.75
2024-09-30,1057.0
2024-10-01,1057.25
2024-10-02,1056.0
2024-10-03,1046.0
2024-10-04,1037.75
2024-10-07,1034.0
2024-10-08,1016.25
2024-10-09,1020.25
2024-10-10,1014.75
2024-10-11,1005.5
2024-10-14,996.0
2024-10-15,991.0
2024-10-16,980.0
2024-10-17,988.75
2024-10-18,970.0
2024-10-21,981.0
2024-10-22,991.75
2024-10-23,997.5
2024-10-24,996.25
2024-10-25,987.75
2024-10-28,974.0
2024-10-29,965.25
2024-10-30,976.5
2024-10-31,982.5
2024-11-01,982.5
2024-11-04,987.25
2024-11-05,993.75
2024-11-06,994.5
2024-11-07,1015.5
2024-11-08,1016.75
2024-11-11,1011.75
2024-11-12,1003.5
2024-11-13,1004.25
2024-11-14,985.75
2024-11-15,998.5
2024-11-18,1009.75
2024-11-19,998.5
2024-11-20,990.5
2024-11-21,977.75
2024-11-22,983.5
2024-11-25,985.75
2024-11-26,983.5
2024-11-27,988.75
2024-11-29,989.5
2024-12-02,985.25
2024-12-03,991.75
2024-12-04,983.75
2024-12-05,993.75
2024-12-06,993.75
2024-12-09,990.0
2024-12-10,994.75
2024-12-11,995.5
2024-12-12,995.75
2024-12-13,988.25
2024-12-16,982.0
2024-12-17,976.75
2024-12-18,951.75
2024-12-19,963.0
2024-12-20,974.5
2024-12-23,969.5
2024-12-24,975.25
2024-12-26,988.0
2024-12-27,980.0
2024-12-30,982.0
